,uuid,id,sex,weight,predicted_weight,difference,area,width,height,MA,ma,eccentricity,perimeter,per_area,symmetry
1135,27b482f2c6944e4a872c87f8da8da985,TA5751,1,26.8,26.8,0.0,0.678432914165461,0.717948717948718,0.35403726708074534,0.6640328557941345,0.5366939375217867,0.9427265460672166,0.7058848915343761,0.7301347808763995,0.2910119112126974
1139,197bda022cd641b7b3e9b05b8fbe7e9b,TA5751,1,26.8,20.4,6.400000000000002,0.6523521625140847,0.7106227106227107,0.35403726708074534,0.643757242036728,0.5938399993520056,0.9340213876720644,0.6927153516542157,0.7424383289622237,0.28580031664934485
1152,41f9755506fd4969959e05e2251b639d,TA0477,1,16.1,26.8,10.7,0.0778722773971669,0.0714285714285714,0.25465838509316774,0.01450081254667046,0.4094351693381242,0.7589076709913487,0.2265492670465491,0.6012304299655044,0.4637277811326699
1153,b9d5d2d93f724623b48d2a5c360649f8,TA5751,1,26.8,26.8,0.0,0.7296367848738032,0.532967032967033,0.6739130434782608,0.4547818452211112,0.9130663172533493,0.8382172284281599,0.6752536116393804,0.5467614537356548,0.2620181938440007
1154,7244482b5956426c840248b655815061,TA0440,1,16.0,20.1,4.100000000000001,0.4750338799521631,0.6739926739926739,0.5279503105590062,0.6465682457491039,0.41575805486311646,0.9536641720702804,0.7505133305668348,0.41611030970730134,0.2959780987780721
1159,3aeac72c54714764b61091c8e123302c,TA0160,1,20.2,22.9,2.6999999999999993,0.40143104994445983,0.2655677655677655,0.21118012422360244,0.20940179461035135,0.3263035866237243,0.8998358290014676,0.19957891265001848,0.9042237086088462,0.5420348738784493
1160,308f2e738afb4823aac661de0c8c1690,TA0185,0,22.8,20.4,2.400000000000002,0.3895411464976212,0.46703296703296704,0.3354037267080745,0.4442007300993761,0.4834935951163015,0.9210559919878208,0.4953492596302478,0.6507427691673496,0.28254006314190944
1169,5f53b99c34a34082af5cb5af1b19c698,TA433,0,17.7,22.9,5.199999999999999,0.5113998827149451,0.4798534798534798,0.9565217391304348,0.5906527013111019,0.4502298327989136,0.9449286167918378,0.7591790574710429,0.1679648104821163,0.30909467578205924
1170,4f7dabc61b0548bbb842a852a8dee80b,TA433,0,17.7,27.1,9.400000000000002,0.5511713021854756,0.5036630036630035,0.9503105590062111,0.610710310227447,0.3610979815155232,0.9561644614050666,0.7745928697290871,0.18161941669013748,0.2950710505975385
1171,b08a3717f9c24cd5954b2a15b7d298d4,TA433,0,17.7,18.9,1.1999999999999993,0.5042181125719298,0.4505494505494505,0.9254658385093166,0.5648980896122596,0.3927281731304535,0.9488354309220484,0.7308181071952147,0.20026292491734687,0.3003244130113234
1175,05013f6ab68148a292eabc0fbcd17ab8,TA0432,0,14.3,26.8,12.5,0.424636448447734,0.315018315018315,0.4906832298136645,0.3413775991405046,0.37274001501066023,0.9211900284198791,0.39559125505707193,0.4083099683786766,0.2558985094360411
1178,8cece6b502884a469d2cf1cf8e14554c,TA0159,1,22.3,24.6,2.3000000000000007,0.6685251645318533,0.2857142857142857,0.5031055900621118,0.2908711345459557,0.8173899401989047,0.7904910301431108,0.4491154569662079,0.8458979374127785,0.5438899609567832
1180,6b9c10fe8f6c4ae483cf0f9bef08b8c4,TA0432,0,14.3,20.4,6.099999999999998,0.3890704559254779,0.2637362637362637,0.8198757763975155,0.35845252949874706,0.4828320160534081,0.9042075434628034,0.4399159655922962,0.2973750306296288,0.23907155546495035
1182,8340da1758734274944d716e8cd41f34,TA0427,0,18.9,16.8,2.099999999999998,0.5944371366240955,0.6794871794871794,0.5652173913043478,0.6444021598028372,0.6817218461404795,0.9231451923655748,0.8308483885137918,0.46710526110534667,0.1753464952149445
1185,0800536b24dd40e7b87a0dc9a343f114,TA0427,0,18.9,20.2,1.3000000000000007,0.5141829597874734,0.5384615384615384,0.5496894409937888,0.5039157572598071,0.6362134590984938,0.907080112815322,0.610646883468801,0.6101801963494208,0.3231226599835628
1187,3c20b48ad54845a28a5aa229e380eff5,TA0477,1,16.1,14.3,1.8000000000000007,0.379526140492018,0.2802197802197802,0.6894409937888197,0.21780053424408086,0.947813202239896,0.6756957379310193,0.6325526878669285,0.614968520295006,0.5023758612497029
1190,063fa57b5281420db00e90b38ba1591c,CG1741,0,27.2,20.4,6.800000000000001,0.6525187259451777,0.7967032967032966,0.39751552795031053,0.8905222210240124,0.2605269218982561,0.9779389240349712,0.7605089894462158,0.44169983576998095,0.0
1192,2bfc16c4dd83416aa6d1a571e7842d3c,CG1741,0,27.2,26.8,0.3999999999999986,0.58091693636799,0.6245421245421244,0.6614906832298135,0.6777484383856281,0.1577887858534972,0.9766653620968988,0.606163733223583,0.15438061512119394,0.2314991035719211
1194,9eef8e1f5d044764a3681601cdee52ea,TA0440,1,16.0,26.8,10.8,0.4833725429213746,0.631868131868132,0.6366459627329193,0.7065910817826492,0.40658646379598107,0.9589860296485684,0.7245983918005328,0.3028924986932814,0.308882534193434
1195,5c730746eb9244eeb6030e9c52e9da58,TA5751,1,26.8,27.2,0.3999999999999986,0.7272767077472568,0.5659340659340658,0.6521739130434783,0.47866717911731527,0.9085613030877335,0.8475738259231608,0.6941504279059878,0.5659951384437439,0.260576815172259
1200,d1585ac96db64267b6d6db1029a9397e,TA0440,1,16.0,22.3,6.300000000000001,0.45264306641002433,0.5183150183150184,0.5527950310559006,0.5784222172002013,0.3588333426984994,0.953726736590356,0.6162798045997482,0.3344806482402367,0.322398014580425
1201,0b458ee72f1b461d821524ed8e176319,TA0427,0,18.9,20.4,1.5,0.5339614106990014,0.4945054945054944,0.40372670807453415,0.4615568137169789,0.6519080729826243,0.8955794558041549,0.5630278794360137,0.7954432801453842,0.31976005721055833
1206,a87a641834ba4b92bf43c61a38670793,TA0160,1,20.2,25.8,5.600000000000001,0.40143104994445983,0.2655677655677655,0.21118012422360244,0.20940179461035135,0.3263035866237243,0.8998358290014676,0.19957891265001848,0.9042237086088462,0.5420348738784493
1207,5c6e364b0a274ea0a1273b8fa937b761,TA0477,1,16.1,27.2,11.099999999999998,0.4898440565129168,0.5109890109890111,0.7236024844720497,0.47904120391983496,0.7440923267107988,0.8823155058873466,0.6320157684862184,0.36933801588719717,0.22293291731669268
1209,1356f3015f28441cb26b42e67b6cc6c0,TA5751,1,26.8,16.0,10.8,0.7285763370810614,0.5842490842490843,0.6304347826086956,0.49634863046471145,0.8879581314238032,0.8577332738406339,0.6979057086599525,0.5817508139752875,0.2521993044060483
1210,80208d0e26604c559588e9e95d7a74d9,TA332,1,20.4,26.8,6.400000000000002,0.6724506816815232,0.5402930402930403,0.5248447204968943,0.5660388864151938,0.2870467476037374,0.9599779898183236,0.6419983987449576,0.34706114913202424,0.32932514678023944
1220,3e04968049eb4a988771dbfe29bd6167,TA0441,1,13.5,14.3,0.8000000000000007,0.24155387778668713,0.09340659340659341,0.593167701863354,0.251663371119605,0.16485671967859195,0.9417163727198206,0.163870054135977,0.42112641760378455,0.4075588121866564
1221,86c4302edab1447890299d74aa058c4e,TA0441,1,13.5,26.8,13.3,0.23035465206039946,0.09157509157509158,0.5838509316770186,0.24868005790403203,0.15551608342870127,0.9428217662829046,0.15800933663210404,0.4152206771691347,0.4031650043194848
1226,8283e4b1eb6a44828866f54c4870f7c8,TA5751,1,26.8,26.8,0.0,0.7302215988670178,0.6025641025641025,0.6024844720496894,0.510550783783465,0.8571699693375867,0.8682277671918871,0.6958762040343529,0.598834546859656,0.25082847141190195
1230,beb8dadc58714643814759b93bd4d170,TA433,0,17.7,13.5,4.199999999999999,0.3871427485020847,0.40293040293040294,0.6024844720496894,0.25106721620246675,0.7104853888698455,0.8047124407673614,0.661149068625775,0.22453112909471795,0.16979985824698776
1231,4e32c758b32c46749bd6d55efbf4bfc0,TA5751,1,26.8,26.8,0.0,0.721116590304625,0.5915750915750916,0.6211180124223603,0.5015065975024008,0.879401844481265,0.8610857095411119,0.6955095720334514,0.5823837636221588,0.2581341471357195
1235,787f9241096441be8c88b3e26b042b22,TA977,0,16.8,27.2,10.399999999999999,0.5337170214134257,0.5091575091575092,0.31677018633540377,0.4572786934856695,0.38597980516652786,0.9375048911845256,0.6759554238893499,0.6128422141452764,0.2227934153604135
